,time,n1,n1_bkg,n2,n2_bkg,n9,n9_bkg,na,na_bkg,b0,b0_bkg,b1,b1_bkg
80,50.0,1219.5219794767288,1238.099257460391,1180.1178714162818,1238.6967215590241,1138.851684618284,1151.4749238684503,1105.8021025278056,1118.7559619834458,2953.3759048801644,2897.697392183536,3018.700036437793,3050.3340777169815
81,51.0,1229.5558755922127,1238.0992574603902,1220.409825051193,1238.6967215590232,1159.9718478742539,1151.4749238684526,1133.1047068968974,1118.7559619834458,2921.5048114758883,2897.697392183542,3017.9061086929387,3050.334077716977
82,52.0,1207.429098640138,1238.099257460391,1197.347784405197,1238.696721559022,1180.023219488329,1151.47492386845,1148.1251967856506,1118.7559619834458,2827.155177617785,2897.6973921835397,3049.946651098182,3050.334077716981
83,53.0,1255.7572256190522,1238.099257460392,1267.6508344030808,1238.6967215590241,1214.2225466387795,1151.4749238684522,1144.0592143391427,1118.7559619834446,2834.169398214383,2897.697392183538,3014.1951072183633,3050.3340777169815
84,54.0,1179.2074442483556,1238.0992574603906,1314.9632993843443,1238.6967215590228,1115.8051341071455,1151.4749238684515,1149.0933593232983,1118.755961983446,2843.4588372607814,2897.69739218354,2843.916675052833,3050.3340777169806
85,55.0,1235.7567003691222,1238.099257460393,1270.7181212226976,1238.6967215590234,1141.9210340049847,1151.4749238684512,1127.9620282862797,1118.755961983445,2923.9060003461195,2897.6973921835433,3046.0184331426135,3050.3340777169797
86,56.0,1212.504136955802,1238.0992574603888,1173.1957853192096,1238.6967215590237,1180.0989398159568,1151.474923868451,1152.1730846751955,1118.7559619834446,2964.725204390933,2897.6973921835393,3110.455924970446,3050.3340777169747
87,57.0,1265.7516880032415,1238.0992574603915,1220.4685716807167,1238.6967215590214,1227.3482059057108,1151.4749238684524,1100.857826918681,1118.7559619834456,2884.7179375725705,2897.697392183538,2990.660602802826,3050.3340777169824
88,58.0,1238.5944009515613,1238.099257460391,1203.3115132845592,1238.696721559024,1117.7608693472878,1151.4749238684506,1146.2254784964891,1118.7559619834456,2866.4797937824856,2897.697392183542,3081.938691469846,3050.334077716979
89,59.0,1256.7425794014575,1238.099257460391,1260.6028028104322,1238.6967215590228,1135.8737606143543,1151.4749238684508,1119.8331779401888,1118.755961983445,2796.870724208425,2897.6973921835383,3109.2924345920865,3050.3340777169806
