,time,n6,n6_bkg,n9,n9_bkg,b1,b1_bkg
262,-3.8,962.1552277100569,1000.5383262039711,1062.4223228961882,1198.6232603141473,1767.636188333576,1573.3075528647043
263,-3.7,1052.3783751277738,1000.538326203971,1162.9772216875035,1198.6232603141466,1465.3338150868956,1573.3075528647018
264,-3.6,1092.4689798945462,1000.5383262039717,1343.8164386858489,1198.623260314147,1546.1226456768584,1573.3075528647032
265,-3.5,992.3618211342855,1000.5383262039715,1474.3345435580397,1198.6232603141473,1596.6099652561377,1573.3075528647018
266,-3.4,1173.2146080259745,1000.5383262039715,1092.4689798945462,1198.6232603141473,1839.232949405992,1573.3075528647043
267,-3.3,1072.3806851209533,1000.5383262039715,1052.7160072988158,1198.623260314148,1465.8045861611774,1573.307552864703
268,-3.2,881.6221848200564,1000.538326203971,1253.5349686114666,1198.6232603141468,1314.7066498062877,1573.307552864702
269,-3.1,992.0436098362486,1000.5383262039711,1132.832080200485,1198.6232603141475,1485.8244317725273,1573.3075528647028
270,-3.0,1142.8800577455024,1000.5383262039717,1283.388144701995,1198.623260314147,1758.2638400482015,1573.307552864703
271,-2.9,1173.1205005313968,1000.5383262039708,1363.9281129653207,1198.6232603141475,1626.8326973287578,1573.307552864703
272,-2.8,1002.1646756994966,1000.5383262039716,1172.932330827051,1198.623260314148,1586.9189666947668,1573.3075528647028
273,-2.7,901.9120535535206,1000.538326203971,1383.93036222871,1198.6232603141464,1646.8508997429071,1573.3075528647025
274,-2.6,972.0412867020606,1000.5383262039715,1343.8164386858489,1198.6232603141477,1485.228002569022,1573.3075528647025
275,-2.5,1102.690564978532,1000.5383262039711,971.8854577880951,1198.6232603141468,1455.5017967918525,1573.3075528647041
276,-2.4,992.282249173084,1000.5383262039715,1182.886242431516,1198.6232603141473,1737.82019085884,1573.3075528647025
277,-2.3,1042.5856123185351,1000.5383262039709,1253.3338680890993,1198.6232603141477,1404.832624227322,1573.3075528647025
278,-2.2,941.997033711455,1000.5383262039711,1323.7063778579836,1198.623260314148,1627.3556475267978,1573.3075528647037
279,-2.1,992.1231435271341,1000.5383262039709,1323.8125802310465,1198.6232603141466,1657.7249984929535,1573.307552864702
280,-2.0,1223.3765191929551,1000.5383262039715,1353.7634624255238,1198.623260314147,1576.9702083207553,1573.3075528647032
281,-1.9,1002.5665704202617,1000.5383262039711,1012.1254634732795,1198.6232603141473,1606.8128866393279,1573.3075528647028
282,-1.8,921.9915016435369,1000.5383262039711,1082.424631173814,1198.623260314148,1757.981234805994,1573.3075528647018
283,-1.7,952.3427631974522,1000.5383262039711,1062.4223228961882,1198.6232603141466,1565.887737894461,1573.3075528647032
284,-1.6,1002.3253949161913,1000.538326203971,1313.6519524277305,1198.6232603141477,1637.0392688560578,1573.307552864702
285,-1.5,1052.2096402444986,1000.5383262039713,1002.2450288646426,1198.623260314147,1496.855598641758,1573.3075528647028
286,-1.4,1042.2512627274764,1000.538326203971,1132.6504019405247,1198.6232603141482,1818.7664543097471,1573.3075528647028
287,-1.3,1022.3309144850114,1000.5383262039713,1223.1802686985989,1198.6232603141473,1728.2958199356665,1573.3075528647028
288,-1.2,982.0820138693892,1000.5383262039716,1082.424631173814,1198.6232603141475,1546.1226456768584,1573.3075528647025
289,-1.1,1072.8107642021944,1000.538326203971,1343.9242588357813,1198.623260314148,1959.838388711303,1573.3075528647025
290,-1.0,1102.602141052869,1000.5383262039713,1223.2783860746629,1198.623260314147,1727.462638598722,1573.3075528647028
291,-0.9,891.8729331596226,1000.5383262039713,1172.932330827051,1198.6232603141482,1869.1964465168364,1573.3075528647028
292,-0.8,1052.4627628650894,1000.5383262039713,1343.7086358348852,1198.6232603141477,1405.1710293881283,1573.3075528647028
293,-0.7,941.997033711455,1000.5383262039713,1202.8869286286917,1198.623260314148,1667.5372684533854,1573.3075528647028
294,-0.6,1072.8968214178128,1000.5383262039715,1293.4405518679505,1198.623260314148,1536.91612255146,1573.3075528647025
295,-0.5,1052.294000921995,1000.5383262039713,1203.272902294223,1198.623260314148,1415.0091323284223,1573.3075528647025
296,-0.4,921.6959204936953,1000.5383262039711,1233.132155675398,1198.6232603141477,1656.6597722845604,1573.3075528647028
297,-0.3,1193.1259900940295,1000.5383262039713,1625.3963157683277,1198.623260314148,1616.4983232594802,1573.3075528647028
298,-0.2,1193.030296954247,1000.5383262039713,1333.5472356468015,1198.623260314148,1828.7046340580905,1573.3075528647028
299,-0.1,1545.750190709417,1000.5383262039713,1605.2652700858587,1198.623260314148,2121.6691804926795,1573.3075528647028
300,0.0,1645.661074094863,1000.5383262039713,1686.4760681014857,1198.623260314148,2778.6726804123314,1573.3075528647028
301,0.1,1424.2728184553457,1000.5383262039715,1676.5385001505633,1198.6232603141477,2727.181241823449,1573.3075528647028
