,time,n9,n9_bkg,na,na_bkg,nb,nb_bkg,b1,b1_bkg
409,-9.55,1042.502004811533,820.0064451643419,1464.9809351795898,1311.902360403441,881.9756254008855,655.5626770153207,3202.4169184289576,3266.074130158845
410,-9.5,1264.1971344864771,824.1445635442332,1484.8703748294192,1312.297650222516,1063.1042644521854,658.8084853509531,2877.3793714032345,3266.0741301588578
411,-9.45,1344.2478231210434,828.269901381616,1565.384924139016,1312.6929400415809,1383.8193413821953,662.0444676710991,3363.544813695823,3266.0741301588428
412,-9.4,1343.8164386858489,832.3824586765048,1606.6838046272264,1313.088229860654,881.834215167536,665.2706239757372,3892.541648178719,3266.0741301588564
413,-9.35,1243.2822651800577,836.4822354288917,1444.1591784338689,1313.4835196797278,1123.2349165596759,668.4869542648705,2961.202207807862,3266.074130158838
414,-9.3,1283.6970474967725,840.5692316387725,1163.2571199358038,1313.878809498792,881.6928502725107,671.6934585385104,2533.5799887396083,3266.0741301588578
415,-9.25,1223.5728326713831,844.64344730615,1464.9809351795898,1314.2740993178613,1063.6162954043596,674.8901367966438,2795.9930804199626,3266.074130158848
416,-9.2,1203.272902294223,848.7048824310283,1424.9588568217193,1314.6693891369341,922.139363322896,678.076989039279,2979.5458205829823,3266.074130158852
417,-9.15,1404.3816708129164,852.7535370134044,1263.791374122349,1315.0646789559976,1042.6692332370721,681.2540152664167,2736.6387636831546,3266.0741301588428
418,-9.1,1122.8745588706931,856.789411053278,1525.859299710868,1315.4599687750747,1344.6794846064113,684.4212154780495,3344.8859514789556,3266.0741301588578
419,-9.05,1283.4910957805046,860.812504550645,1283.90306531855,1315.8552585941407,1203.852327447816,687.5785896741834,3160.8616871350464,3266.074130158844
420,-9.0,1404.1563026558415,864.8228175055121,1384.041400890581,1316.2505484132123,721.3850593138724,690.7261378548116,3526.945866419394,3266.074130158853
421,-8.95,1605.3941242574824,868.8203499178803,1605.6518946692129,1316.6458382322767,1002.8078620136239,693.8638600199455,3384.3674456083318,3266.0741301588564
422,-8.9,1464.7457763152406,872.8051017877482,1444.622792937379,1317.0411280513538,1384.9303520532899,696.9917561695763,3263.2342277011862,3266.0741301588487
423,-8.85,1183.170898006641,876.777073115104,1323.9187996469361,1317.4364178704195,1102.9559218705976,700.1098263037053,3000.28190568237,3266.0741301588496
424,-8.8,1062.5927262520397,880.736263899966,1263.3858741426845,1317.8317076894896,942.2236478088154,703.2180704223348,3201.9010028595135,3266.0741301588405
425,-8.75,1102.602141052869,884.6826741423214,1485.34725010034,1318.2269975085542,1162.883952201443,706.3164885254638,3383.8221076377213,3266.0741301588587
