,Unnamed: 0,name        ,time                   ,ra        ,dec      ,error_radius,lle_bbbd_sig,lle_t90 ,tl100      ,tl100_error,like_best_ts,like_lat_t0,like_lat_t1,like_lat_flux,like_lat_flux_error,like_lat_flux_ene,like_lat_flux_ene_error,like_gbm_t0,like_gbm_t1,like_gbm_flux,like_gbm_flux_error,like_gbm_flux_ene,like_gbm_flux_ene_error,Unnamed: 23,flux_ratio,flux_ene_ratio,flux_ratio_error,flux_ene_ratio_error,GBM-LAT Time Difference
66,,GRB121123442,2012-11-23 10:35:55.000,01 54 28.8,-24 03 36,0.5,0.0,0.0,1383.23999,213.17,26.8282,268.01999,1651.26001,2.41803e-06,1.03825e-06,1.35116e-09,7.88484e-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-268.01999
67,,GRB150513856,2015-05-13 20:33:14.999,03 16 14.4,-22 54 36,0.04,8.4,11.36,101.65,8.595,24.2558,68.84,170.49001,1.37515e-05,0.0,1.52346e-08,0.0,-157.186,1.792,1.71981e-05,5.78759e-06,7.76843e-09,4.12011e-09,,1.2506344762389559,0.5099201816916756,inf,inf,-226.026
68,,GRB130606497,2013-06-06 11:55:32.998,14 34 16.8,-22 09 00,0.11,0.0,0.0,396.73999,39.89,95.6791,130.53,527.27002,8.80751e-06,2.56435e-06,2.06106e-08,1.62087e-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-130.53
69,,GRB181028590,2018-10-28 14:09:41.996,05 55 41.3,-21 58 52,0.306,0.0,0.0,26.38,13.19,30.3664,26.68,53.06,7.85746e-05,0.0,8.70488e-08,0.0,2.048,31.745,3.6973e-05,2.18722e-05,1.47319e-08,1.24904e-08,,0.47054646157918717,0.16923725542454346,inf,inf,-24.631999999999998
70,,GRB091120191,2009-11-20 04:34:39.996,15 06 48.0,-21 21 36,0.18,0.0,0.0,772.08002,17.275,44.9029,31.79,803.87,4.92692e-06,1.5246e-06,1.76451e-09,6.1611e-10,1.024,51.201,4.35103e-05,0.0,4.82028e-08,0.0,,8.831135882052074,27.31795229270449,0.0,0.0,-30.766
71,,GRB131014215,2013-10-14 05:08:59.997,06 43 07.2,-20 45 36,0.81,17.0,1.811,198.60001,4.955,155.255,1.85,200.45,6.05895e-05,1.27473e-05,8.60071e-08,4.99144e-08,0.96,4.16,0.00383231,0.00129106,4.36076e-06,3.18297e-06,,63.250398171300304,50.70232573822394,101.281055596087,63.76857179491289,-0.8900000000000001
72,,GRB190511302,2019-05-11 07:14:24.003,08 25 23.0,-20 11 53,0.173,0.0,0.0,872.46997,42.94,74.3665,14.23,886.70001,4.03634e-06,1.22923e-06,3.9509e-09,2.24495e-09,2.56,30.208,1.51014e-05,1.10692e-05,2.46485e-08,4.00721e-08,,3.7413597467012196,6.238705105165912,9.004986861693906,17.84988529811354,-11.67
73,,GRB130325203,2013-03-25 04:51:53.997,08 11 52.8,-19 09 00,0.18,0.0,0.0,705.65997,187.13,64.1314,324.07999,1029.73999,1.18272e-06,6.30778e-07,5.75707e-09,5.47828e-09,0.768,7.68,0.000167287,0.0,1.85329e-07,0.0,,141.4426068722944,32.19154882605214,0.0,0.0,-323.31199000000004
74,,GRB210928084,2021-09-28 02:00:30.997,16 23 06.2,-17 59 56,0.12,12.0,19.018,543.21997,11.55,168.013,12.51,555.72998,1.55193e-05,3.12005e-06,1.05148e-08,3.5989e-09,2.56,26.368,0.00013016,4.13466e-05,2.95576e-08,9.85284e-09,,8.386976216710805,2.8110472857305897,13.25190301437477,2.737736530606574,-9.95
75,,GRB130310840,2013-03-10 20:09:41.003,09 29 31.2,-17 06 00,0.47,11.0,0.078,492.84,31.86,53.6175,67.23,560.07001,6.61185e-06,2.1447e-06,5.98731e-09,3.72627e-09,4.096,20.096,0.00101043,0.0,1.11941e-06,0.0,,152.8210712584224,186.96376168930624,0.0,0.0,-63.134
76,,GRB101227406,2010-12-27 09:45:05.996,16 00 50.4,-15 55 48,0.32,0.0,0.0,6.5,2.675,26.7398,17.29,23.79,4.38323e-05,3.11649e-05,1.88405e-07,3.05363e-07,0.768,154.11501,4.41822e-06,2.2694e-06,1.44638e-08,1.6596e-08,,0.10079826976909723,0.07676972479498952,0.07281910097577723,0.054348431211377925,-16.522
77,,GRB090427977,2009-04-27 23:26:32.004,15 43 26.4,-14 03 00,0.11,0.0,0.0,12.69,12.69,40.2377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
