,name,gcn_name,time,trigger_met,ra,dec,lii,bii,error_radius,redshift,luminosity_distance,theta,zenith,arr_flag,distance_to_closest,irfs,lle_bbbd_sig,lle_bbbd_sig_detected,lle_t05,lle_t90,lle_t95,tl0,tl100,tl100_error,tl1,tl0_lower,tl1_upper,like_best_t0,like_best_t1,like_best_ts,like_best_flux,like_best_flux_error,like_best_flux_ene,like_best_flux_ene_error,like_best_fluence,like_best_fluence_error,like_best_grbindex,like_best_grbindex_error,like_best_eiso_rf,like_best_eiso_rf_error,like_lat_t0,like_lat_t1,like_lat_ts,like_lat_flux,like_lat_flux_error,like_lat_flux_ene,like_lat_flux_ene_error,like_lat_fluence,like_lat_fluence_error,like_lat_grbindex,like_lat_grbindex_error,like_lat_eiso_rf,like_lat_eiso_rf_error,like_gbm_t0,like_gbm_t1,like_gbm_ts,like_gbm_flux,like_gbm_flux_error,like_gbm_flux_ene,like_gbm_flux_ene_error,like_gbm_fluence,like_gbm_fluence_error,like_gbm_grbindex,like_gbm_grbindex_error,like_gbm_eiso_rf,like_gbm_eiso_rf_error,like_ext_t0,like_ext_t1,like_ext_ts,like_ext_flux,like_ext_flux_error,like_ext_flux_ene,like_ext_flux_ene_error,like_ext_fluence,like_ext_fluence_error,like_ext_grbindex,like_ext_grbindex_error,like_ext_eiso_rf,like_ext_eiso_rf_error,ext_emission_max_ene,ext_emission_max_ene_p,ext_emission_max_ene_t,ext_emission_n,lat_bpl_chi2,lat_bpl_f0,lat_bpl_f0_error,lat_bpl_index1,lat_bpl_index1_error,lat_bpl_index2,lat_bpl_index2_error,lat_bpl_timebreak,lat_bpl_timebreak_error,lat_spl_chi2,lat_spl_index1,lat_spl_index1_error,lat_f0,lat_f0_error,late_index,late_index_error,su_tsinput,gbm_cat_name,gbm_cat_t05,gbm_cat_t90,gbm_cat_t90_error,gbm_cat_t95,gbm_cat_fluence,gbm_cat_fluence_error,flux_ratio,flux_ene_ratio,fluence_ratio,hardness,flux_ratio_error,flux_ene_ratio_error,fluence_ratio_error,hardness_error,like_gbm-lat_time_difference,gbm-lle_time_difference
48,GRB150118409,b'GRB150118B      ',57040.4085301,443267300.77,240.23,-35.93,340.5789,12.7382,0.56,0.0,0.0,65.2622,91.7388,1,4.54,b'P8_TRANSIENT010E              ',6.6,1,22.122,1.473,23.595,4.34,46.69,15.28,51.03,4.13,81.38,0.0,500.0,30.4634,9.31672e-05,4.26895e-05,4.22973e-08,2.11565e-08,2.11486e-05,1.05782e-05,-2.52221,0.512161,0.0,0.0,4.34,51.03,5.48174,0.000134795,0.0,1.49332e-07,0.0,6.97233e-06,0.0,-3.89108,1.59186,0.0,0.0,7.68,47.873,3.75577,0.000138823,0.0,1.53795e-07,0.0,6.18148e-06,0.0,-3.23827,1.49378,0.0,0.0,47.873,51.03,5.87139,0.00122461,0.0,1.35668e-06,0.0,4.28303e-06,0.0,-5.9989,0.168812,0.0,0.0,1800.0,1.0,51.03,3.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,b'GRB150118409',7.68,40.193,0.572,47.873,0.00014114,1.0972e-07,1.029882414036129,1.029886427557389,0.8865730681135289,1.1279386166419691,0.0,0.0,0.0,0.0,3.34,6.207
49,GRB131216081,b'GRB131216A      ',56642.0809259,408851795.063,91.59,-35.5,242.0253,-23.978,2.24,0.0,0.0,44.5659,77.2043,1,-1.0,b'P8_TRANSIENT020E              ',7.7,1,-0.19,0.275,0.085,-666.0,0.0,-666.0,-666.0,0.0,-1332.0,0.0,19.262,0.00828272,4.46151e-05,0.0,4.94268e-08,0.0,9.52059e-07,0.0,-5.13255,11.0677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,19.265,0.00827929,4.46147e-05,0.0,4.94263e-08,0.0,9.5205e-07,0.0,-5.13234,11.0672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-670.0,-670.0,-666.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'GRB131216081',0.003,19.262,3.598,19.265,6.7779e-06,3.99e-08,inf,inf,inf,0.0,,,,,0.003,-0.272
50,GRB120526303,b'GRB120526A      ',56073.3032407,359709402.76,53.82,-35.23,236.3685,-54.2944,0.11,0.0,0.0,109.6846,62.9318,0,2.25,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,692.20001,2614.09009,173.125,3306.29004,662.5,3622.84009,46.721,3306.29004,122.225,2.0733e-06,4.44434e-07,3.22445e-09,1.83883e-09,1.05103e-05,5.99379e-06,-1.8718,0.164249,0.0,0.0,692.20001,3306.29004,121.121,2.02675e-06,4.39708e-07,3.44144e-09,1.99157e-09,8.99624e-06,5.20615e-06,-1.84116,0.162956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.721,3306.29004,122.225,2.0733e-06,4.44434e-07,3.22445e-09,1.83883e-09,1.05103e-05,5.99379e-06,-1.8718,0.164249,0.0,0.0,14000.0,1.0,1354.30005,20.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000400846,0.690622,0.130643,-3.46241,0.437292,0.690622,0.130643,110.0,b'GRB120526303',3.072,43.649,1.002,46.721,0.00011619,2.2796e-07,0.0,0.0,0.0,inf,,,,,-692.20001,3.072
52,GRB110518860,b'GRB110518A      ',55699.859838,327443892.0,67.19,-34.27,235.6743,-43.2849,0.19,0.0,0.0,165.9076,124.127,0,3.16,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,1968.25,395.98999,183.3,2364.23999,1897.26001,2659.8501,0.0,4000.0,41.9981,9.14141e-07,3.9906e-07,1.46328e-09,1.15825e-09,5.85313e-06,4.63301e-06,-1.86165,0.316971,0.0,0.0,1968.25,2364.23999,20.8134,1.42766e-06,9.54326e-07,2.7232e-09,3.72168e-09,1.07836e-06,1.47375e-06,-1.80178,0.495386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2364.23999,31.3806,1.30877e-06,6.00913e-07,1.75226e-09,1.51644e-09,4.08143e-06,3.53216e-06,-1.92619,0.358,0.0,0.0,2900.0,1.0,2039.23999,4.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00226347,0.720437,0.4886,-3.7873,1.76785,0.720437,0.4886,40.0,b'0           ',0.0,35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,inf,,,,,-1968.25,0.0
53,GRB131209547,b'GRB131209A      ',56635.5471759,408287279.96,137.06,-33.9,258.8613,9.2588,1.16,0.0,0.0,19.7944,53.5509,0,1.49,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,14.27,360.54001,56.79,374.81,12.98,487.10001,0.0,500.0,28.2334,5.92058e-06,1.96079e-06,1.57885e-09,5.81117e-10,7.89424e-07,2.90559e-07,-3.49885,0.730975,0.0,0.0,14.27,374.81,27.3626,6.927e-06,2.30885e-06,1.98158e-09,7.81753e-10,7.14438e-07,2.81853e-07,-3.26852,0.679088,0.0,0.0,2.816,16.384,9.47978,8.07996e-05,0.0,8.95138e-08,0.0,1.21452e-06,0.0,-3.02825,1.33195,0.0,0.0,16.384,374.81,22.2336,5.69127e-06,2.13622e-06,1.59296e-09,7.44464e-10,5.70957e-07,2.66835e-07,-3.3338,0.802072,0.0,0.0,290.0,0.91,65.13,8.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000894804,0.832158,0.155467,-3.44056,0.344322,0.832158,0.155467,29.0,b'GRB131209547',2.816,13.568,1.145,16.384,1.3674e-05,8.8332e-08,11.66444348202685,45.17294280321764,1.699965567341043,0.5882472087738365,6.734250834437399,28.37313711618658,1.0677490230188769,0.23206945953957117,-11.454,2.816
54,GRB090626189,b'GRB90626.0      ',55008.1889815,267683530.88,170.19,-33.56,282.0672,25.6114,0.29,0.0,0.0,22.599,10.4193,0,2.64,b'P8_TRANSIENT010E              ',9.1,1,21.481,0.889,22.37,9.0,548.32001,86.405,557.32001,7.92,729.04999,0.0,4000.0,119.713,9.77951e-06,2.07595e-06,8.98523e-09,3.66799e-09,3.59409e-05,1.4672e-05,-2.07981,0.190556,0.0,0.0,9.0,557.32001,101.013,1.08635e-05,2.58376e-06,1.02933e-08,4.75188e-09,5.644e-06,2.60555e-06,-2.06605,0.212314,0.0,0.0,1.536,50.433,18.3995,2.72339e-05,0.0,3.0171e-08,0.0,1.47527e-06,0.0,-6.0,0.000995618,0.0,0.0,50.433,557.32001,101.796,1.12022e-05,2.70247e-06,1.23621e-08,6.0344e-09,6.26618e-06,3.05876e-06,-2.00142,0.205215,0.0,0.0,2100.0,1.0,111.63,20.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00278339,0.942202,0.222585,-2.76129,0.591489,0.942202,0.222585,100.0,b'GRB090626189',1.536,48.897,2.828,50.433,6.3046e-05,1.0656e-07,2.5069176600543104,2.931129958322404,0.26138731396172926,3.8257403729486805,1.2225912145350666,1.9915466850654133,0.17759907896958949,1.7661512807825008,-7.464,0.647
55,GRB170825307,b'GRB170825B      ',57990.306956,525338526.42,285.64,-32.55,4.2709,-16.3633,1.02,0.0,0.0,50.4679,79.4937,0,5.83,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,0.91,0.58,0.34,1.49,0.81,2.07,0.0,10.0,25.3163,9.84143e-05,5.81075e-05,2.88144e-08,2.27276e-08,2.88144e-07,2.27276e-07,-3.20424,1.15455,0.0,0.0,0.91,1.49,15.2824,0.00233873,0.0,2.59096e-06,0.0,1.50276e-06,0.0,-2.08148,1.01966,0.0,0.0,-0.512,6.144,19.8559,0.000269245,0.0,2.98283e-07,0.0,1.98537e-06,0.0,-2.7651,1.13217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.99,1.49,2.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,b'GRB170825307',-0.512,6.656,0.923,6.144,2.2479e-06,2.2048e-08,0.11512444788410804,0.11512450983419274,1.3211490856823445,0.7569168467338582,0.0,0.0,0.0,0.0,-1.4220000000000002,-0.512
56,GRB180718763,b'GRB180718B      ',58317.7627778,553630709.46,44.48,-30.33,227.105,-62.1772,0.95,0.0,0.0,46.4544,43.0937,0,2.25,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,1.07,15.09,3.205,16.16,0.95,22.45,0.0,10.0,72.2406,0.000202505,7.26315e-05,6.84721e-08,3.20811e-08,6.84721e-07,3.20811e-07,-2.89512,0.618434,0.0,0.0,1.07,16.16,59.9889,0.000134565,4.85803e-05,4.4247e-08,2.34419e-08,6.67688e-07,3.53739e-07,-2.94544,0.63829,0.0,0.0,1.6,99.906,20.9384,2.98619e-05,9.88168e-06,1.09174e-08,4.90428e-09,1.07324e-06,4.8212e-07,-2.77202,0.490276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,0.99,2.63,9.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,b'GRB180718763',1.6,98.306,4.891,99.906,1.49e-05,4.9558e-08,0.22191431650131904,0.24673763192984835,1.607397467080433,0.622123662927211,0.1522210127351224,0.2110424934407796,1.3748602744454663,0.5315076987778592,0.53,1.6
57,GRB180703949,b'GRB180703B      ',58302.9492014,552350816.32,96.92,-29.88,237.9491,-17.8795,0.44,0.0,0.0,32.2084,44.3668,0,4.61,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,8.0,70.55,22.205,78.55,7.92,122.88,1.664,34.22,42.9003,1.84416e-05,9.32989e-06,5.90437e-08,7.24369e-08,1.92223e-06,2.35826e-06,-1.63769,0.358289,0.0,0.0,8.0,34.22,27.1636,1.71484e-05,1.00718e-05,4.66272e-08,6.75649e-08,1.22256e-06,1.77155e-06,-1.68796,0.433091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.664,34.22,42.9003,1.84416e-05,9.32989e-06,5.90437e-08,7.24369e-08,1.92223e-06,2.35826e-06,-1.63769,0.358289,0.0,0.0,1100.0,1.0,34.22,5.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,b'GRB180703949',0.128,1.536,0.091,1.664,8.8488e-06,1.8159e-08,0.0,0.0,0.0,inf,,,,,-8.0,0.128
58,GRB120830297,b'GRB120830A      ',56169.2965625,368003226.54,88.59,-28.79,234.1716,-24.3213,0.62,0.0,0.0,38.7316,75.334,0,3.28,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,0.66,10.02,0.18,10.68,0.59,10.97,0.66,10.68,70.708,0.000105102,4.34967e-05,1.4096e-07,1.45766e-07,1.41242e-06,1.46058e-06,-1.92554,0.374183,0.0,0.0,0.66,10.68,70.708,0.000105102,4.34967e-05,1.4096e-07,1.45766e-07,1.41242e-06,1.46058e-06,-1.92554,0.374183,0.0,0.0,0.0,0.896,47.2912,0.000603307,0.000351018,5.52631e-07,7.61967e-07,4.95158e-07,6.82723e-07,-2.08118,0.599469,0.0,0.0,0.896,10.68,29.2152,5.19874e-05,3.09659e-05,1.00798e-07,1.49437e-07,9.8621e-07,1.46209e-06,-1.79634,0.479395,0.0,0.0,780.0,1.0,2.96,6.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,b'GRB120830297',0.0,0.896,0.231,0.896,3.0693e-06,2.7188e-08,5.740204753477574,3.920480987514188,0.35057419181263366,2.8524632541532196,4.979012956620224,6.716713191731623,0.6006167986418389,4.463130615581588,-0.66,0.0
59,GRB090228204,b'GRB090228A      ',54890.2037037,257489602.92,98.6,-28.79,237.467,-16.1131,0.21,0.0,0.0,23.8033,56.6437,1,4.38,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,0.09,2.0,0.135,2.09,0.08,2.35,0.0,10.0,60.4479,9.31307e-05,3.92687e-05,1.95619e-07,2.08498e-07,1.95619e-06,2.08498e-06,-1.77001,0.333113,0.0,0.0,0.09,2.09,37.727,0.000319539,0.000162763,4.417e-07,5.74582e-07,8.834e-07,1.14916e-06,-1.91434,0.460421,0.0,0.0,0.0,0.448,12.4343,0.00173344,0.0,1.92039e-06,0.0,8.60333e-07,0.0,-4.50637,3.26964,0.0,0.0,0.448,2.09,39.2447,0.000388099,0.000197478,5.38023e-07,6.98548e-07,8.83434e-07,1.14702e-06,-1.91327,0.459209,0.0,0.0,700.0,0.92,2.09,5.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,b'GRB090228204',0.0,0.448,0.143,0.448,6.1936e-06,2.6491e-08,5.424815124288428,4.34772470002264,0.9738883857822052,1.0268117112792372,3.871692429894307,4.958774340589459,1.1107612984562851,1.3357153567281503,-0.09,0.0
60,GRB201208252,b'GRB201208A      ',59191.2523495,629100208.25,158.33,-28.79,269.687,25.0223,0.13,0.0,0.0,10.9359,34.3797,0,1.03,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,88.86,164.60001,109.58,253.46001,34.3,418.06,33.281,253.46001,33.5702,3.47316e-06,1.80123e-06,9.95201e-09,1.0898e-08,2.19122e-06,2.3995e-06,-1.67171,0.344291,0.0,0.0,88.86,253.46001,21.7452,1.62449e-06,1.3161e-06,1.52956e-08,2.20111e-08,2.51766e-06,3.62302e-06,-1.31287,0.440269,0.0,0.0,-11.52,33.281,-1.07151e-07,1.16942e-05,0.0,1.29554e-08,0.0,5.80417e-07,0.0,-4.96212,19195.6,0.0,0.0,33.281,253.46001,33.5702,3.47316e-06,1.80123e-06,9.95201e-09,1.0898e-08,2.19122e-06,2.3995e-06,-1.67171,0.344291,0.0,0.0,6000.0,1.0,253.46001,2.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,b'GRB201208252',-11.52,44.801,5.971,33.281,6.6853e-06,6.2048e-08,7.1986900504158235,0.8470017521378695,0.23053827760698428,4.337674465082863,6.479468729224149,1.0160660099043268,0.27655395256924337,6.24209835342521,-100.38,-11.52
62,GRB100325275,b'GRB100325A      ',55280.2750926,291191770.03,330.26,-26.99,23.0736,-52.2521,0.87,0.0,0.0,7.8462,52.8511,0,2.36,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,0.22,0.95,0.205,1.17,0.19,1.55,0.22,1.17,68.3635,0.000732841,0.000330379,9.34e-07,1.0555e-06,8.873e-07,1.00273e-06,-1.94476,0.415213,0.0,0.0,0.22,1.17,68.3635,0.000732841,0.000330379,9.34e-07,1.0555e-06,8.873e-07,1.00273e-06,-1.94476,0.415213,0.0,0.0,-0.384,6.72,58.0816,0.000119686,4.9517e-05,9.86467e-08,9.44098e-08,7.00786e-07,6.70687e-07,-2.1306,0.443032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820.0,1.0,0.34,6.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,b'GRB100325275',-0.384,7.104,1.619,6.72,3.352e-06,4.1664e-08,0.16331782746871423,0.10561745182012848,0.7897960103685338,1.2661497233106827,0.1288025108889236,0.1510746760792345,1.1297217759260318,1.8925258021097433,-0.604,-0.384
63,GRB110921912,b'GRB110921B      ',55825.9116319,338334767.09,5.77,-26.59,36.1869,-83.6533,0.39,0.0,0.0,33.9401,21.1935,1,0.81,b'P8_TRANSIENT010E              ',7.1,1,17.073,0.935,18.008,7.4,314.22,52.685,321.62,6.73,426.32001,0.0,500.0,55.2979,4.37988e-06,1.44752e-06,6.00112e-09,4.30769e-09,3.00056e-06,2.15384e-06,-1.9176,0.269647,0.0,0.0,7.4,321.62,54.7957,6.27929e-06,2.15513e-06,1.0534e-08,7.91962e-09,3.30999e-06,2.4885e-06,-1.84533,0.264268,0.0,0.0,0.896,18.56,43.0495,5.55691e-05,2.58089e-05,6.33728e-08,6.74177e-08,1.11942e-06,1.19087e-06,-1.98815,0.417368,0.0,0.0,18.56,321.62,36.347,4.4273e-06,1.88324e-06,6.70372e-09,6.14242e-09,2.03163e-06,1.86152e-06,-1.8813,0.336938,0.0,0.0,2000.0,1.0,202.48,10.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,b'GRB110921912',0.896,17.664,0.345,18.56,3.6311e-05,7.8966e-08,8.849583312763068,6.01602430225935,0.3381943752095928,2.9568794554322775,6.616052625482503,8.256526206888905,0.46414566964644977,3.7739946850156354,-6.5040000000000004,-0.039000000000000035
64,GRB121029350,b'GRB121029A      ',56229.3502199,373191862.93,229.07,-25.56,339.5973,26.8127,0.21,0.0,0.0,61.1979,42.0463,1,1.24,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,119.02,1807.43994,72.11,1926.45996,12.92,1964.57996,14.912,1926.45996,38.3823,8.41276e-07,3.61657e-07,3.33602e-09,2.69967e-09,6.37696e-06,5.16055e-06,-1.5731,0.256507,0.0,0.0,119.02,1926.45996,23.3782,5.97585e-07,3.28459e-07,2.10326e-09,2.13055e-09,3.80152e-06,3.85084e-06,-1.60897,0.338432,0.0,0.0,-0.896,14.912,3.79053,0.000134171,0.0,1.48641e-07,0.0,2.34972e-06,0.0,-5.99974,0.177257,0.0,0.0,14.912,1926.45996,38.3823,8.41276e-07,3.61657e-07,3.33602e-09,2.69967e-09,6.37696e-06,5.16055e-06,-1.5731,0.256507,0.0,0.0,4300.0,1.0,1926.45996,5.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,b'GRB121029350',-0.896,15.808,0.572,14.912,7.8146e-06,5.8005e-08,224.5220345222855,70.67171914076243,0.6181001283697047,1.6178608515057114,166.45609739334793,71.12872764942642,0.6220967480501778,1.638850586452854,-119.916,-0.896
66,GRB200415367,b'GRB200415A      ',58954.3667245,608633290.56,11.08,-25.0,85.6272,-87.3384,0.56,0.0,0.0,49.1127,42.3634,0,0.67,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,19.18,451.98001,94.195,471.16,17.89,658.26001,19.18,471.16,30.5781,4.472e-06,2.49967e-06,1.36007e-08,1.3662e-08,6.14724e-06,6.17494e-06,-1.65339,0.336521,0.0,0.0,19.18,471.16,30.5781,4.472e-06,2.49967e-06,1.36007e-08,1.3662e-08,6.14724e-06,6.17494e-06,-1.65339,0.336521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.128,471.16,30.5375,4.21301e-06,2.35749e-06,1.28645e-08,1.29295e-08,6.05958e-06,6.09019e-06,-1.65216,0.336557,0.0,0.0,1700.0,1.0,284.06,4.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,b'GRB200415367',-0.016,0.144,0.036,0.128,5.0136e-06,1.6154e-08,0.0,0.0,0.0,inf,,,,,-19.18,-0.016
67,GRB121123442,b'GRB121123B      ',56254.4416088,375359758.71,28.62,-24.06,204.25,-75.4696,0.5,0.0,0.0,78.8018,76.4233,0,0.54,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,268.01999,1383.23999,213.17,1651.26001,174.75,1984.32996,0.0,4000.0,26.8282,1.92486e-06,7.86828e-07,1.17171e-09,7.05138e-10,4.68684e-06,2.82055e-06,-2.29773,0.39723,0.0,0.0,268.01999,1651.26001,25.9058,2.41803e-06,1.03825e-06,1.35116e-09,7.88484e-10,1.86898e-06,1.09066e-06,-2.3547,0.440699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.801,1651.26001,24.8782,2.28839e-06,9.76457e-07,1.34384e-09,8.27299e-10,2.15883e-06,1.32902e-06,-2.32097,0.421492,0.0,0.0,2500.0,1.0,268.01999,7.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,b'GRB121123442',2.304,42.497,1.999,44.801,1.4232e-05,1.0312e-07,0.0,0.0,0.0,inf,,,,,-268.01999,2.304
69,GRB220228438,b'GRB220228A      ',59638.4375579,667737010.92,311.37,-22.56,23.1127,-34.558,0.67,0.0,0.0,23.7646,49.8617,0,8.49,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,394.57999,224.88,8.34,619.46002,377.89999,619.46002,0.0,1506.63,32.0975,3.80512e-06,1.18755e-06,1.22582e-09,4.48476e-10,1.84686e-06,6.75687e-07,-2.98487,0.499947,0.0,0.0,394.57999,619.46002,11.3148,8.08548e-06,0.0,8.95749e-09,0.0,2.01436e-06,0.0,-4.32333,1.56049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12,619.46002,23.3095,4.07582e-06,1.48873e-06,1.25191e-09,5.29735e-10,7.69096e-07,3.25437e-07,-3.08621,0.633998,0.0,0.0,310.0,0.99,394.57999,4.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,b'GRB220228438',-6.912,12.032,2.415,5.12,8.9381e-07,3.1342e-08,0.0,0.0,0.0,inf,,,,,-394.57999,-6.912
70,GRB130606497,b'GRB130606B      ',56449.4969097,392212536.63,218.57,-22.15,332.2298,34.8045,0.11,0.0,0.0,90.5414,10.9012,1,4.62,b'P8_TRANSIENT010E              ',0.0,0,0.0,0.0,0.0,130.53,396.73999,39.89,527.27002,126.19,602.71002,57.601,527.27002,95.6791,8.8173e-06,2.56532e-06,2.06052e-08,1.61948e-08,9.6776e-06,7.6062e-06,-1.73563,0.203006,0.0,0.0,130.53,527.27002,95.5904,8.80751e-06,2.56435e-06,2.06106e-08,1.62087e-08,8.17706e-06,6.43065e-06,-1.73519,0.203048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.601,527.27002,95.6791,8.8173e-06,2.56532e-06,2.06052e-08,1.61948e-08,9.6776e-06,7.6062e-06,-1.73563,0.203006,0.0,0.0,4600.0,1.0,527.27002,11.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00127156,0.665265,0.198556,-3.44556,0.568985,0.665265,0.198556,87.0,b'GRB130606497',5.376,52.225,0.724,57.601,0.00020087,2.0452e-07,0.0,0.0,0.0,inf,,,,,-130.53,5.376
71,GRB181028590,b'GRB181028A      ',58419.5900694,562428587.53,88.922,-21.981,227.3435,-21.6821,0.306,0.0,0.0,57.9804,34.299,0,-1.0,b'P8_TRANSIENT020E              ',0.0,0,0.0,0.0,0.0,26.68,26.38,13.19,53.06,24.5,77.26,0.0,174.53999,30.3664,1.87838e-05,7.69961e-06,1.46558e-08,1.107e-08,2.55802e-06,1.93215e-06,-2.15776,0.395212,0.0,0.0,26.68,53.06,14.7444,7.85746e-05,0.0,8.70488e-08,0.0,2.29635e-06,0.0,-2.81848,1.1625,0.0,0.0,2.048,31.745,23.9985,3.6973e-05,2.18722e-05,1.47319e-08,1.24904e-08,4.37492e-07,3.70927e-07,-2.6598,0.870275,0.0,0.0,31.745,53.06,6.46845,7.325e-05,0.0,8.11499e-08,0.0,1.72971e-06,0.0,-3.38527,2.14308,0.0,0.0,230.0,0.97,28.86,3.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,b'GRB181028590',2.048,29.697,0.81,31.745,3.1137e-05,7.3049e-08,0.47054646157918717,0.16923725542454346,0.1905162540553487,5.248895979812202,0.2783622188340762,0.14348733124408375,0.16152894811331026,4.833115031519342,-24.631999999999998,2.048
