,time,n9,n9_bkg,na,na_bkg,nb,nb_bkg,b1,b1_bkg
57,27.0,1332.9588878970542,384.7596894103825,1288.683056174547,1604.614471424493,1017.7417963995002,368.5585761908994,3142.0201145664496,3266.0741301588496
58,28.0,1327.9306747974003,275.8139194746863,1393.394767095419,1612.5202678058868,1095.1364708525216,286.08451039219426,3212.9702908488243,3266.07413015885
59,29.0,1345.9463145943907,161.75593253809575,1336.0080240722166,1620.4260641872766,1049.7777118254903,199.68003839318254,3270.1987902178053,3266.0741301588505
60,30.0,1302.6552506332769,42.585728600611745,1397.4522829735538,1628.33186056867,1107.2864261127024,109.34516019386447,3226.326177145849,3266.0741301588487
61,31.0,1316.7738739226625,-81.69669233776548,1396.3230160577148,1636.237656950061,1066.927649470146,15.079875794238546,3267.881707717437,3266.074130158852
62,32.0,1369.2419114416464,-211.09133027703575,1473.9554381831717,1644.1434533314543,1086.1084423620403,-83.11581480569342,3275.0300110376165,3266.0741301588523
63,33.0,1310.8775758694217,-345.5981852172013,1368.2799797767416,1652.0492497128466,1045.7838766797215,-185.24191160593165,2995.482618953675,3266.074130158848
64,34.0,1298.737767294273,-485.2172571582603,1327.9519851076805,1659.955046094239,1141.392217670918,-291.2984146064774,3219.335751443515,3266.0741301588496
65,35.0,1333.8789198990664,-629.9485461002116,1380.2622498274673,1667.8608424756317,1091.0374482559446,-401.2853238073294,3226.118266837437,3266.0741301588514
66,36.0,1325.8981405331676,-779.7920520430582,1391.282367126014,1675.7666388570246,1059.8339961055863,-515.2026392084867,3201.8236298611337,3266.0741301588505
67,37.0,1338.9284159724632,-934.7477749867969,1401.5663030152236,1683.6724352384158,1092.1388069311201,-633.0503608099539,3334.682918084234,3266.0741301588478
68,38.0,1258.5314392184468,-1094.815714931428,1328.0478899686245,1691.5782316198085,1083.9070386777337,-754.8284886117287,3165.4490829863153,3266.074130158852
69,39.0,1362.911556166197,-1259.9958718769537,1380.3508659294096,1699.484028001202,1076.881735524263,-880.5370226138065,3184.572292710823,3266.0741301588496
70,40.0,1334.9380672985308,-1430.2882458233764,1403.4545647886391,1707.389824382593,1093.0298788241005,-1010.1759628161903,3218.2445060256496,3266.0741301588496
71,41.0,1313.7678862979024,-1605.6928367706882,1392.3999839492799,1715.2956207639854,1041.72306408953,-1143.7453092188834,3160.5104340138987,3266.0741301588514
72,42.0,1331.9318628591602,-1786.2096447188972,1420.8536360206465,1723.2014171453761,1048.924401230631,-1281.2450618218827,3292.3161832094897,3266.0741301588514
73,43.0,1292.621926638441,-1971.838669667995,1474.9144148302144,1731.1072135267698,1040.801838549375,-1422.6752206251895,3297.3319206706656,3266.0741301588487
74,44.0,1305.7553523934837,-2162.5799116179924,1382.262898779837,1739.0130099081634,1039.7636918930518,-1568.0357856288038,3198.938318991645,3266.074130158852
75,45.0,1358.1014664286145,-2358.433370568873,1373.2984240673306,1746.9188062895546,986.5175928970733,-1717.3267568327192,3269.106041501331,3266.0741301588478
76,46.0,1336.90644061949,-2559.3990465206643,1396.334221423298,1754.8246026709453,1072.9656771315917,-1870.5481342369485,3238.227191442058,3266.0741301588528
77,47.0,1348.930784305466,-2765.476939473332,1469.6588184545008,1762.7303990523417,1025.730494576563,-2027.699917841478,3124.949662537653,3266.07413015885
78,48.0,1307.7663671373555,-2976.6670494268974,1408.337680054568,1770.6361954337303,1055.891029639152,-2188.782107646319,3210.0853874657646,3266.0741301588505
79,49.0,1313.7889673819295,-3192.9693763813675,1336.1152349235645,1778.5419918151217,1088.083629004599,-2353.794703651468,3258.785427710552,3266.0741301588528
80,50.0,1313.7889673819295,0.0,1336.1152349235645,0.0,1088.083629004599,0.0,3258.785427710552,0.0
